TeamA,TeamB,PaseA,PaseB,AlphaA,AlphaB,Year,Round,A_win
Duke,Tennessee,0,-1,0,0,2023,2,0
Florida Atlantic,Tennessee,3.4,-1,0,0,2023,3,1
Michigan,Tennessee,7.6,-1,0,0,2022,2,1
Miami (FL),Texas,3.4,-4.6,0,0,2023,4,1
Penn State,Texas,-0.2,-4.6,0,0,2023,2,0
Xavier,Texas,2.7,-4.6,0,0,2023,3,0
Alabama,Texas A&M - Corpus Christi,-2.9,0,0,0,2023,1,1
Kansas,Texas Southern,-1.8,-0.2,0,0,2022,1,1
Michigan,Texas Southern,7.6,-0.2,0,0,2021,1,1
Notre Dame,Texas Tech,-1.1,3.7,0,0,2022,2,0
Houston,UAB,2.1,0.3,0,0,2022,1,1
BYU,UCLA,-3,5.1,0,0,2021,1,0
Gonzaga,UCLA,3.8,5.1,0,0,2023,3,1
Gonzaga,UCLA,3.8,5.1,0,0,2021,5,1
Michigan,UCLA,7.6,5.1,0,0,2021,4,0
Northwestern,UCLA,0.4,5.1,0,0,2023,2,0
Saint Mary's,UCLA,-1.6,5.1,0,0,2022,2,0
UNC,UCLA,9.8,5.1,0,0,2022,3,1
Arkansas,UConn,3.5,10.6,0,0,2023,3,0
Miami (FL),UConn,3.4,10.6,0,0,2023,5,0
Saint Mary's,UConn,-1.6,10.6,0,0,2023,2,0
San Diego State,UConn,0.2,10.6,0,0,2023,6,0
Baylor,UCSB,-0.3,0,0,0,2023,1,1
Creighton,UCSB,0.9,0,0,0,2021,1,1
Baylor,UNC,-0.3,9.8,0,0,2022,2,0
Duke,UNC,0,9.8,0,0,2022,5,0
Kansas,UNC,-1.8,9.8,0,0,2022,6,1
UCLA,UNC Asheville,5.1,-0.2,0,0,2023,1,1
Florida State,UNC Greensboro,1.2,-0.5,0,0,2021,1,1
Gonzaga,Southern California,3.8,-0.6,0,0,2021,4,1
Michigan State,Southern California,9.2,-0.6,0,0,2023,1,1
Missouri,Utah State,-3.3,-3.6,0,0,2023,1,1
Texas Tech,Utah State,3.7,-3.6,0,0,2021,1,1
Oregon,VCU,5.7,-1.1,0,0,2021,1,1
Saint Mary's,VCU,-1.6,-1.1,0,0,2023,1,1
Arkansas,Vermont,3.5,-0.9,0,0,2022,1,1
Marquette,Vermont,-2.2,-0.9,0,0,2023,1,1
Baylor,Villanova,-0.3,4,0,0,2021,3,1
Houston,Villanova,2.1,4,0,0,2022,4,0
Michigan,Villanova,7.6,4,0,0,2022,3,0
Ohio State,Villanova,-2.7,4,0,0,2022,2,0
Florida,Virginia Tech,5.9,-2.1,0,0,2021,1,1
Texas,Virginia Tech,-4.6,-2.1,0,0,2022,1,1
Maryland,West Virginia,-0.3,-0.2,0,0,2023,1,1
Syracuse,West Virginia,4.7,-0.2,0,0,2021,2,1
Villanova,Winthrop,4,-1,0,0,2021,1,1
Baylor,Wisconsin,-0.3,4,0,0,2021,2,1
Iowa State,Wisconsin,-1.5,4,0,0,2022,2,1
UNC,Wisconsin,9.8,4,0,0,2021,1,0
Arizona,Wright State,-2.5,-0.2,0,0,2022,1,1
Pitt,Xavier,-4.6,2.7,0,0,2023,2,0
Purdue,Yale,-4.4,0.2,0,0,2022,1,1
